Conference's Acronym with year	Conference's Acronym	Year	Conference's Name	Location
ICMMT 2016	ICMMT	2016	SCOPUS-2016 7th International Conference on Material and Manufacturing Technology (ICMMT 2016)--Ei Compendex	Chiang Mai, Thailand
ICCAR-IEEE 2016	ICCAR-IEEE	2016	Ei Compendex--IEEE 2016 The 2nd International Conference on Control, Automation and Robotics (ICCAR 2016)	Hong Kong
ICIEA-Ei 2016	ICIEA-Ei	2016	EI &Scopus-The 3rd International Conference on Industrial Engineering and Applications (ICIEA 2016)	Hong Kong
DMKD Special Issue 2016	DMKD Special Issue	2016	Data Mining and Knowledge Discovery -- Special Issue on Sports Analytics	N/A
PATTERN 2016	PATTERN	2016	Special Issue on New Trends for Pattern Recognition: Theory & Applications	N/A
MOD 2016	MOD	2016	2nd International Workshop on Machine learning, Optimization & big Data	Volterra (Pisa) Tuscany
AIAPP 2016	AIAPP	2016	Third International Conference on Artificial Intelligence and Applications	Geneva , Switzerland
BigDAW 2016	BigDAW	2016	Workshop on Big Data Analytics (BigDAW16) at Computing Frontiers 2016	Como
EUSIPCO Special Session 2016	EUSIPCO Special Session	2016	Special Session @ EUSIPCO 2016 : Advances on Linear-in-the-Parameters Nonlinear Filters and Their Application to Audio and Speech Processing	Budapest, Hungary
MAICS 2016	MAICS	2016	Modern AI and Cognitive Science Conference	University of Dayton, Dayton, Ohio
COOS 2016	COOS	2016	The 4th International Workshop on Collaborative Online Organizations	Singapore
RFIA 2016	RFIA	2016	Reconnaissance des Formes et l'Intelligence Artificielle	Clermont-Ferrand, FRANCE
MASC-SLL 2016	MASC-SLL	2016	Mid-Atlantic Student Colloquium on Speech, Language and Learning	Philadelphia, PA, USA
ICSMA-Ei 2016	ICSMA-Ei	2016	Ei Compendex, Scopus--2016 2nd International Conference on Sensors and Mechanical Automation (ICSMA 2016)	Bali, Indonesia
COLT 2016	COLT	2016	Conference on Learning Theory	New York, NY, USA
KDD 2016	KDD	2016	22nd ACM SIGKDD international conference on knowledge discovery and data mining	San Francisco, USA
ICCRE 2016	ICCRE	2016	2016 International Conference on Control and Robotics Engineering (ICCRE 2016)--IEEE, Ei	Singapore
ICMEAE-Ei 2016	ICMEAE-Ei	2016	Ei Compendex & Scopus--2016 3rd International Conference on Mechatronics, Electronics and Automation Engineering (ICMEAE 2016)	Singapore
ICML 2016	ICML	2016	33rd International Conference on Machine Learning (ICML-2016)	New York
GECCO 2016	GECCO	2016	The Genetic and Evolutionary Computation Conference	Denver, CO
ALA 2016	ALA	2016	Adaptive Learning Agents	Singapore
SecMAS 2016	SecMAS	2016	Security and Multi-agent Systems Workshop at AAMAS 2016	Singapore
WCCI 2016	WCCI	2016	2016 IEEE World Congress on Computational Intelligence	Vancouver, Canada
Distributed Neural Networks@IJCNN 2016	Distributed Neural Networks@IJCNN	2016	Special Session on Distributed Learning Algorithms for Neural Networks	Vancouver (Canada)
IDAVis 2016	IDAVis	2016	IDAVis 2016: Workshop on intelligent data analytics and visualization	Hangzhou, China
ICMR 2016	ICMR	2016	International Conference on Multimedia Retrieval	New York City
WebMiReS 2016	WebMiReS	2016	Web Mining and Recommender Systems-PAAMS Special Session	Sevilla, Spain
ParLearning 2016	ParLearning	2016	The 5th International Workshop on Parallel and Distributed Computing for Large Scale Machine Learning and Big Data Analytics	Chicago, Illinois, USA
AI 2016	AI	2016	29th Canadian Conference on Artificial Intelligence	Victoria, BC, Canada
ICMACE 2016	ICMACE	2016	*Scopous* & *Ei Compendex* 2016 International Conference on Mechanical Automation and Control Engineering--ICMACE 2016	Pucket, Thailand
ARIA 2016	ARIA	2016	Third International Conference on Artificial Intelligence & Applications	Sydney , Australia
MLDM 2016	MLDM	2016	Machine Learning and Data Mining in Pattern Recognition	New York, USA
Insight 2016	Insight	2016	Scientific data as viewed from an aesthetic perspective	Klagenfurt, Austria
FMML 2016	FMML	2016	WCCI2016 Special Session on Fuzzy-based methods for machine learning: data preprocessing, learning models and their applications	Vancouver, Canada
SFI 2016	SFI	2016	SFI Academic IT Festival	Cracow, Poland
KES-IDT IS 04	KES-IDT IS	04	Intelligent Data Analysis and Applications	Tenerife, Spain
SDMA 2016	SDMA	2016	4rth Symposium on Data Mining Applications (SDMA 2016)	Riyadh, Saudi Arabia
SI-SCSE 2015	SI-SCSE	2015	A special issue dedicated to Soft Computing in Software Engineering	N/A
IWSPA 2016	IWSPA	2016	International Workshop on Security And Privacy Analytics - 2016	New Orleans, USA
HAIS 2016	HAIS	2016	The 11th International Conference on Hybrid Artificial Intelligence Systems	Sevilla, Spain
SCSN 2016	SCSN	2016	Fourth International Workshop on Semantic Computing for Social Networks: from user information to social knowledge	Laguna Hills, California
Advances in Learning with Kernels@ESANN 2016	Advances in Learning with Kernels@ESANN	2016	**deadline extended** Special session - Advances in Learning with Kernels: Theory and Practice in a World of growing Constraints	Bruges (Belgium)
Infovis & ML CFP at ESANN 2016	Infovis & ML CFP at ESANN	2016	Special session on Information Visualisation and Machine Learning: Techniques, Validation and Integration at ESANN 2016	Bruges, Belgium
ICLR 2016	ICLR	2016	ICLR 2016 : International Conference on Learning Representations 2016	San Juan, Puerto Rico
EvoMUSART 2016	EvoMUSART	2016	5th International Conference on Evolutionary and Biologically Inspired Music, Sound, Art and Design	Porto
STREAMS 2015	STREAMS	2015	Special Issue on Software Architectures and Systems for Real Time Data Stream Analytics	N/A
ADAPT 2016	ADAPT	2016	The 6th International Workshop on Adaptive Self-tuning Computing Systems	Prague, Czech Republic
CODS 2016	CODS	2016	ACM IKDD Conference on Data Sciences, 2016	Pune, India
TLWorkshop 2015	TLWorkshop	2015	(Deadline Extended to 10/16/2015) NIPS 2015 Workshop on Transfer and Multi-Task Learning: Trends and New Perspectives	Montreal, Canada
ECSA-SSS 2015	ECSA-SSS	2015	2nd International Electronic Conference on Sensors and Applications - Smart Systems and Structures	Online (Switzerland, Basel)
ISICS 2016	ISICS	2016	International Symposium on Intelligent Computing Systems	Mérida, México
LearningSys 2015	LearningSys	2015	NIPS 2015 Workshop on Machine Learning Systems	Montreal, CANADA
AISTATS 2016	AISTATS	2016	The 19th International Conference on Artificial Intelligence and Statistics	Cadiz, Spain
NIPS Modern ML+NLP 2014	NIPS Modern ML+NLP	2014	Workshop on Modern Machine Learning & Natural Language Processing	Montreal, Quebec, Canada
PAKDD 2016	PAKDD	2016	The 20th Pacific-Asia Conference on Knowledge Discovery and Data Mining	Auckland, New Zealand
ICDM 2015	ICDM	2015	ICDM 2015 Student Travel Grants	Atlantic City, NJ, USA
WiML 2015	WiML	2015	10th WORKSHOP FOR WOMEN IN MACHINE LEARNING 2015 Co-located with NIPS	Montreal, Canada
LSCNA 2015	LSCNA	2015	Workshop on Large Scale Complex Network Analysis	Kolkata, India
ESBD 2015	ESBD	2015	The First International Workshop on Educational and Scholarly Big Data Analytics	Hong Kong
WiML 2015	WiML	2015	10th WORKSHOP FOR WOMEN IN MACHINE LEARNING 2015 Co-located with NIPS	Montreal, Canada
MLHPC 2015	MLHPC	2015	Machine Learning in High Performance Computing Environments Workshop	Austin, Texas
DataCom 2015	DataCom	2015	2015 International Conference on Big Data Intelligence and Computing	Chengdu, Sichuan, China
SocialCom 2015	SocialCom	2015	The 8th IEEE International Conference on Social Computing and Networking	Chengdu, Sichuan, China
SustainCom 2015	SustainCom	2015	The 5th IEEE International Conference on Sustainable Computing and Communications	Chengdu, Sichuan, China
TASK-CV 2015	TASK-CV	2015	2nd Workshop on Transferring and Adapting Source Knowledge in Computer Vision	Santiago de Chile
IML 2015	IML	2015	Special Session on Incremental Machine Learning	Fukuoka, Japan
ITxOT Analytics 2015	ITxOT Analytics	2015	1st Workshop on ITxOT Analytics @ IEEE Big Data 2015	Santa Clara, CA
CVM 2016	CVM	2016	The 4th international conference on Computational Visual Media	Cardiff University, UK
WACV 2016	WACV	2016	IEEE Winter Conference on Application of Computer Vision	Lake Placid, NY, USA.
MLPMEA 2015	MLPMEA	2015	2015 Workshop on Machine Learning for Predictive Models for Engineering Applications (MLPMEA 2015)	Miami
SIAI 2015	SIAI	2015	SOCIAL IMPLICATIONS OF ARTIFICIAL INTELLIGENCE – SEOUL CONFERENCE	Seoul, South Korea
IEEEBDAM 2015	IEEEBDAM	2015	IEEE Workshop on Big Data for Advanced Manufacturing	Santa Clara
TAAI 2015	TAAI	2015	The 2015 Conference on Technologies and Applications of Artificial Intelligence	Tayih Landis Hotel, Tainan, Taiwan
ASE BigData 2015	ASE BigData	2015	The Fifth ASE International Conference on Big Data	Kaohsiung, Taiwan
CRoNe 2015	CRoNe	2015	Call for Posters - 1st Congress on Robotics and Neuroscience	Valparaíso, Chile
IES 2015	IES	2015	The 19th Asia Pacific Symposium on Intelligent and Evolutionary Systems	Bangkok
SoDA 2015	SoDA	2015	Special Session on Data Mining & Its Application 2015 (in Conjuction with IES 2015)	Bangkok, Thailand
4DML in Biometrics 2015	4DML in Biometrics	2015	4D's of Machine Learning in Biometrics: Deep Learning, Dictionary Learning, Domain Adaptation, and Distance Metric Learning	USA
Bigdata 2015	Bigdata	2015	The International Workshop on Big Data and Smart Sustainable Society	Liverpool, UK
SenseML 2015	SenseML	2015	SenseML 2015 : 2nd International Workshop on Machine Learning for Urban Sensor Data @ ACM SenSys	Seoul, Korea
SIPAIM 2015	SIPAIM	2015	11th International Seminar on Medical Information Processing and Analysis	Cuenca, Ecuador
JoMI 2015	JoMI	2015	Journal of Machine Intelligence (JoMI)	N/A
HADM 2015	HADM	2015	ICDM International Workshop on Hardware Accelerated Data Mining	Atlantic City, NJ
KDMILE 2015	KDMILE	2015	3rd Symposium on Knowledge Discovery Mining and Learning	Itaipava - Petropolis (Brazil)
KDMILE 2015	KDMILE	2015	3rd Symposium on Knowledge Discovery Mining and Learning	Itaipava - Petropolis (Brazil)
BAFI 2015	BAFI	2015	Business Analytics in Finance and Industry	Santiago, Chile
CIDM 2015	CIDM	2015	IEEE Symposium on Computational Intelligence and Data Mining	Cape Town, South Africa
INFORMS-DMA 2015	INFORMS-DMA	2015	2015 INFORMS Workshop on Data Mining and Analytics	Philadelphia
SocialSens 2015	SocialSens	2015	Last CFP: First International Workshop on Social Sensing (SocialSens 2015)	Dallas, TX, USA
DICTA 2015	DICTA	2015	Digital Image Computing: Techniques and Applications	Adelaide, Australia
SocialSens 2015	SocialSens	2015	First International Workshop on Social Sensing (SocialSens 2015)	Dallas, TX, USA
MLSLP 2015	MLSLP	2015	Machine Learning in Spoken Language Processing	Aizu-Wakamatsu city, Fukushima, Japan
ICMLA 2015	ICMLA	2015	International Conference on Machine Learning and Applications	Miami, FL
ICAST 2015	ICAST	2015	IEEE 7th International Conference on Awareness Science and Technology	Qinhuangdao
AV+EC 2015	AV+EC	2015	AV+EC 2015 - 5th International Audio/Visual+ Emotion Challenge and Workshop	Brisbane, Australia
LWA/KDML 2015	LWA/KDML	2015	Workshop on Knowledge Discovery, Data Mining and Machine Learning	Trier, Germany
MetaSel 2015	MetaSel	2015	ECMLPKDD Workshop on Meta-learning and Algorithm Selection	Porto, Portugal
ECML MLLS 2015	ECML MLLS	2015	2nd Workshop on Machine Learning in Life Sciences	Porto, Portugal
ECML/PKDD 2015	ECML/PKDD	2015	ECML'2015 Workshop on Advanced Analytics and Learning on Temporal Data	Porto
ECML-AALTD 2015	ECML-AALTD	2015	Advanced Analytics and Learning on Temporal Data	Porto
MLSA 2015	MLSA	2015	Machine Learning and Data Mining for Sports Analytics (MLSA 15) @ ECML/PKDD 2015	Porto
Big Data 2015	Big Data	2015	The 3rd International Workshop on Big Data	Xi'an, China
ICCP 2015	ICCP	2015	IEEE 11th - International Conference on Intelligent Computer Communication and Processing	Cluj-Napoca, Romania
AISI 2015	AISI	2015	International Conference on Advanced Intelligent Systems and Informatics	Beni Suef, Egypt
AISec 2015	AISec	2015	8th ACM Workshop on Artificial Intelligence and Security	Denver, Colorado, USA
ICACSIS 2015	ICACSIS	2015	7th International Conference of Advanced Computer Science and Information Systems	Depok, West Java
IDEAL 2015	IDEAL	2015	The 16th International Conference on Intelligent Data Engineering and Automated Learning	Wroclaw, Poland
CIARP 2015	CIARP	2015	XX Iberoamerican Congress on Pattern Recognition	Montevideo, Uruguay
MoReBikeS Challenge 2015	MoReBikeS Challenge	2015	MoReBikeS: 2015 ECML-PKDD Challenge on Model Reuse with Bike rental Station data	Porto, Portugal
ISCMI 2015	ISCMI	2015	2nd Intl. Conference on Soft Computing & Machine Intelligence	Hong Kong
NIPS 2015	NIPS	2015	Neural Information Processing Systems Conference	Montreal, Canada
ICDM 2015	ICDM	2015	International Conference on Data Mining	Atlantic City, NJ, USA
ECTA 2015	ECTA	2015	7th International Conference on Evolutionary Computation Theory and Applications	Lisbon, Portugal
MaxEnt 2015	MaxEnt	2015	35th International Workshop on Bayesian Inference and Maximum Entropy Methods in Science and Engineering	Clarkson University, Potsdam, NY, USA
MLIS 2015	MLIS	2015	ICML Workshop on Machine Learning for Interactive Systems (MLIS'15)	Lille, France
DSAA 2015	DSAA	2015	IEEE International Conference on Data Science and Advanced Analytics (DSAA 2015)	Paris - France
INISTA 2015	INISTA	2015	2015 IEEE International Symposium on INnovations in Intelligent SysTems and Applications	Madrid, Spain
ICONIP 2015	ICONIP	2015	LNCS 22nd International Conference on Neural Information Processing	Istanbul, Turkey
SSML 2015	SSML	2015	AERFAI/INIT Summer School on Machine Learning	Benicassim (Spain)
GlobalSIP 2015	GlobalSIP	2015	IEEE Global Conference on Signal and Information Processing	Orlando, Florida, USA
Big Data 2015	Big Data	2015	The 3rd International Workshop on Big Data	Xi'An, China
ACML 2015	ACML	2015	7th Asian Conference on Machine Learning	Hong Kong
IDA 2015	IDA	2015	The 14th International Symposium on Intelligent Data Analysis	Saint-Etienne, France
CIBB 2015	CIBB	2015	Twelfth International Meeting on Computational Intelligence Methods for Bioinformatics and Biostatistics	Naples, Italy, EU
FEAST 2015	FEAST	2015	ICML Workshop on Features and Structures	Lille, France
ILP 2015	ILP	2015	The 25th International Conference on Inductive Logic Programming	Kyoto, Japan
MUD@ICML 2015	MUD@ICML	2015	2nd International Workshop on Mining Urban Data	Lille
RTStreams 2015	RTStreams	2015	The 1st IEEE International Workshop on Real Time Data Stream Analytics	Helsinki, Finland
STAMLINS 2015	STAMLINS	2015	ICML Workshop on Statistics, Machine Learning and Neuroscience	Lille, France
DAMDID/RCDL 2015	DAMDID/RCDL	2015	XVII International Conference on Data Analytics and Management in Data Intensive Domains	Obninsk, Russia
IEEE SMC 2015	IEEE SMC	2015	IEEE International Conference on Systems, Man, and Cybernatics	Hong Kong
IEEE SMC 2015	IEEE SMC	2015	IEEE SMC- Special session on BMI and intelligent interaction for automotive applications	Hong-Kong
MLOSS 2015	MLOSS	2015	ICML 2015 Workshop on Machine Learning Open Source Software: Open Ecosystems	Lille, France
IP 2015	IP	2015	IJCAI 2015 Workshop in INTELLIGENT PERSONALIZATION (IP'2015)	Buenos Aires - Argentina
Adaptive NLP 2015	Adaptive NLP	2015	Workshop on Adaptive Natural Language Processing at IJCAI 2015	Buenos Aires, Argentina
GIGA 2015	GIGA	2015	GENERAL INTELLIGENCE IN GAME-PLAYING AGENTS	Buenos Aires
IEEE CPBG 2015	IEEE CPBG	2015	The 1st IEEE International Workshop on Classification Problems Embedded in the Nature of Big Data	Helsinki, Finland
RecSys 2015	RecSys	2015	ACM International Conference on Recommender Systems	Vienna, Austria
IntelliSys 2015	IntelliSys	2015	SAI Intelligent Systems Conference 2015	London UK
VAAM 2015	VAAM	2015	Video Analytics for Audience Measurement	Torino/Turin, Italy
PAPIs.io 2015	PAPIs.io	2015	The International Conference on Predictive APIs and Apps	Sydney
ECML-PKDD 2015	ECML-PKDD	2015	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	Porto, Portugal
ICMLC 2015	ICMLC	2015	2015 International Conference on Machine Learning and Cybernetnics	Guangzhou, China
ICWAPR 2015	ICWAPR	2015	2015 International Conference on Wavelet Analysis and Pattern Recongition	Guangzhou, China
MLPRA 2015	MLPRA	2015	6th International Workshop on Machine Learning, Pattern Recognition and Applications	Amsterdam, the Netherlands
ECC 2015	ECC	2015	2nd Euro-China Conference on Intelligent Data Analysis and Applications	Ostrava, Czech Republic
(***Closed***) Call For Book Chapters 2015	(***Closed***) Call For Book Chapters	2015	Computational Biology and Bioinformatics: Gene Regulation, CRC Press (Taylor & Francis Group)	N/A
DSBD 2015	DSBD	2015	The 2nd International Workshop on Data Stream Classification and Big Data Analytics	Wroclaw, Poland
InWebTech 2015	InWebTech	2015	Innovations in Web Technologies (InWebTech 2015)	Gdynia, Poland
AJIS (Business Analytics) 2015	AJIS (Business Analytics)	2015	2nd CFP - Australasia Journal of Information Systems, Special Issue on Business Analytics	N/A
PRNI 2015	PRNI	2015	5th International Workshop on Pattern Recognition in NeuroImaging	Stanford, CA, USA
ICMMI 2015	ICMMI	2015	International Conference on Man-Machine Interactions	The Beskids, Poland
Fusion in Biometrics 2015	Fusion in Biometrics	2015	Special Issue: Information Fusion in Biometrics	Journal
CABDA@CYBCONF 2015	CABDA@CYBCONF	2015	Special Session on Computational Aspects of Big Data Analysis	Gdynia, Poland
AGI 2015	AGI	2015	Artificial General Intelligence	Berlin, Germany
EPIA-TEMA 2015	EPIA-TEMA	2015	17th Portuguese Conference on Artificial Intelligence (EPIA 2015): Text Mining and Applications (TEMA’15) Track	Coimbra
PAML 2015	PAML	2015	Journal of Neural Computing and Applications (Springer), Special Issue on Predictive Analytics Using Machine Learning	N/A
RuleLearning@RuleML 2015	RuleLearning@RuleML	2015	Rule learning - a special track of RuleML 2015	Berlin
UAI 2015	UAI	2015	31st Conference on Uncertainty in Artificial Intelligence	Amsterdam, The Netherlands
VISUM 2015	VISUM	2015	VISion Understanding and Machine Intelligence	Porto, Portugal
MLJ-SI 2015	MLJ-SI	2015	Machine Learning Journal Special Issue on Dynamic networks & Knowledge discovery	N/A
ULA 2015	ULA	2015	Unsupervised Learning Algorithms (Springer, 2015)	N/A
FUSION 2015	FUSION	2015	SS Data Mining and Knowledge Discover - Fusion 2015	Washington D.C.
ECOJ 2016	ECOJ	2016	Ecology: An International Journal	N/A
ARIN 2016	ARIN	2016	Second International Conference on Artificial Intelligence	Vienna, Austria
IJEL 2016	IJEL	2016	International Journal of Electromagnetics	N/A
IJFLS 2016	IJFLS	2016	International Journal of Fuzzy Logic Systems	N/A
IJAIA 2016	IJAIA	2016	International Journal of Artificial Intelligence & Applications	N/A
AISC 2017	AISC	2017	Fifth International Conference on Artificial Intelligence, Soft Computing	Zurich, Switzerland
IJMECH 2016	IJMECH	2016	International Journal of Recent advances in Mechanical Engineering	N/A
IJMA 2016	IJMA	2016	The International Journal of Multimedia & Its Applications - ERA Indexed	N/A
JANT 2016	JANT	2016	International Journal of Antennas	N/A
ICIAI 2017	ICIAI	2017	International Conference on Innovation in Artificial Intelligence -Scopus, Ei Compendex	Singapore
ICAIT 2017	ICAIT	2017	International Conference on Advances in Information Technology	Katmandu, Nepal
CSBio 2016	CSBio	2016	7th International Conference on Computational Systems-Biology and Bioinformatics	University of Macau, Macau
ICMLC - ACM 2017	ICMLC - ACM	2017	9th International Conference on Machine Learning and Computing	Singapore
ICMERR 2016	ICMERR	2016	International Conference on Mechanical Engineering and Robotics Research - EI Compendex, Scopus, and ISI CPCS	Singapore
ICPRAM 2017	ICPRAM	2017	International Conference on Pattern Recognition Applications and Methods	Porto, Portugal
ICAART 2017	ICAART	2017	9th International Conference on Agents and Artificial Intelligence	Porto
ICSCA 2017	ICSCA	2017	6th International Conference on Software and Computer Applications (ICSCA 2017)-Ei Compendex	Bangkok, Thailand
ICMLSC 2017	ICMLSC	2017	International Conference on Machine Learning and Soft Computing - ACM	Ho Chi Minh City, Vietnam
PAKDD 2017	PAKDD	2017	The 21st Pacific-Asia Conference on Knowledge Discovery and Data Mining	Jeju Island, Korea
ICSENT 2016	ICSENT	2016	5th International Conference on Software Engineering and New Technologies	ISTANBUL
CAAM - Special Issue 2016	CAAM - Special Issue	2016	Special Issue on Cognitive Architectures for Artificial Minds - Cognitive Systems Research	N/A
ICCRD 2017	ICCRD	2017	The 9th International Conference on Computer Research and Development (ICCRD 2017)-SCOPUS	Ho Chi Minh City, Vietnam
SMART 2016	SMART	2016	SMART 2016 – Scientific Methods in Academic Research and Teaching	Timisoara, Romania
ICICDS 2016	ICICDS	2016	International Conference on Intelligent Computing and Decision Systems	Hammamet, Tunisia
ICCTD 2017	ICCTD	2017	8th International Conference on Computer Technologies and Development-EI, Scopus, and ISI CPCS	Paris, France
CCEAI 2017	CCEAI	2017	2017 International Conference on Control Engineering and Artificial Intelligence (CCEAI 2017)--EI&Scopus	Kuala Lumpur,Malaysia
BDAS 2017	BDAS	2017	13th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow (Cracow), Poland
IWPR 2017	IWPR	2017	2017 the Second International Workshop on Pattern Recognition (IWPR 2017)--Ei, Scopus and ISI	Singapore
ICMAA 2017	ICMAA	2017	2017 International Conference on Mechanical, Aeronautical and Automotive Engineering (ICMAA 2017)	Malacca, Malaysia
ICBCB - ACM 2017	ICBCB - ACM	2017	2017 5th International Conference on Bioinformatics and Computational Biology (ICBCB 2017)-Ei, ISI and Scopus	Hong Kong
ICCAE 2017	ICCAE	2017	2017 9th International Conference on Computer and Automation Engineering (ICCAE 2017)-Ei Compendex and Scopus	Sydney, Australia
ICMIP 2017	ICMIP	2017	Second International Conference on Multimedia and Image Processing - IEEE, Ei Compendex	Wuhan, China
PIS@WorldCist 2017	PIS@WorldCist	2017	Pervasive Information Systems	Porto Santo, Madeira, Portugal
IEA/AIE 2017 PGM Track 2017	IEA/AIE 2017 PGM Track	2017	IEA/AIE 2017 - Special Track on Graphical Models: from Theory to Applications	Arras, France
8th ICISA 2017	8th ICISA	2017	ICISA International Conference on Information Sience and Applications	Macau, China
IJCNN 2017	IJCNN	2017	International Joint Conference on Neural Networks	Anchorage, Alaska
AAMAS 2017	AAMAS	2017	International Conference on Autonomous Agents and Multiagent Systems	Sao Paulo, Brazil
Big Data Analytics@IJCNN 2017	Big Data Analytics@IJCNN	2017	Special Session: 'Large Datasets and Big Data Analytics: Theory, Methods, and Applications' at IJCNN 2017	Anchorage, Alaska, USA
ICCRE 2017	ICCRE	2017	2017 IEEE 2nd International Conference on Control and Robotics Engineering (ICCRE 2017)-IEEE Xplore,EI	Bangkok, Thailand
ICIST 2017	ICIST	2017	7th International Conference on Information Systems and Technologies	DUBAI
ICAISC 2017	ICAISC	2017	International Conference on Artificial Intelligence and Soft Computing	Zakopane, Poland
RecSys@FLAIRS 2017	RecSys@FLAIRS	2017	Recommender Systems Special Track at the International FLAIRS Conference	Marco Island
UR@FLAIRS30	UR@FLAIRS	30	FLAIRS30 - Uncertain Reasoning (UR) Special Track	Marco Island, Florida, USA
CLOSER 2017	CLOSER	2017	7th International Conference on Cloud Computing and Services Science	Porto, Portugal
CPAIOR (2nd CfP) 2017	CPAIOR (2nd CfP)	2017	CPAIOR 2017 Second CfP - Integration of AI, OR and CP for optimization	Padova, Italy
ISDM@FLAIRS 2017	ISDM@FLAIRS	2017	Intelligent Support for Decision Making at FLAIRS-30	Marco Island, Florida
SLIE 2017	SLIE	2017	Semantic, Logics, Information Extraction and AI	Marco Island (Florida)
CPAIOR 2017	CPAIOR	2017	Fourteenth International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming	Padova, Italy
CBR@FLAIRS 2017	CBR@FLAIRS	2017	FLAIRS-30 Special Track on Case-Based Reasoning	Marco Island
IEA/AIE 2017	IEA/AIE	2017	The 30th International Conference on Industrial, Engineering, Other Applications of Applied Intelligent Systems	Arras, France
CogSIMA 2017	CogSIMA	2017	2017 IEEE Conference on Cognitive and Computational Aspects of Situation Management	Savannah, Georgia, USA
EACL SRW 2017	EACL SRW	2017	EACL 2017 Student Research Workshop	Valencia
ICAAI 2017	ICAAI	2017	International Conference on Advances in Artificial Intelligence -EI Compendex, Scopus, and ISI CPCS	Bangkok, Thailand
ICMEAE 2017	ICMEAE	2017	2016 4th International Conference on Mechatronics, Electronics and Automation Engineering (ICMEAE 2017) -Ei&Scopus	Bangkok, Thailand
Call for book chapters ASCMLIP 2017	Call for book chapters ASCMLIP	2017	Advances in Soft Computing and Machine Learning in Image Processing (Springer)	N/A
TFML 2017	TFML	2017	Conference on Theoretical Foundations of Machine Learning 2017	Cracow, Poland
ICDES 2017	ICDES	2017	2017 Second International Conference on Design Engineering and Science (ICDES 2017)--EI&Scopus	Kortrijk, Belgium
IEEE-ICIM 2017	IEEE-ICIM	2017	2017 3rd IEEE International Conference on Information Management (ICIM 2017)--Ei Compendex	Chengdu, China
IJCI 2016	IJCI	2016	International Journal on Cybernetics & Informatics	N/A
TIST UI 2017	TIST UI	2017	ACM TIST Special Issue on Urban Intelligence	N/A
ICICT 2017	ICICT	2017	International Conference on Information and Computer Technologies-Ei,Scopus	Kanyakumari, India
IEA/AIE NAAD 2017	IEA/AIE NAAD	2017	Special Track on Novel Approaches to Anomaly Detection	Arras, France
AIACT 2017	AIACT	2017	2017 International Conference on Artificial Intelligence, Automation and Control Technologies (AIACT 2017)	Wuhan,China
EI--AIACT 2017	EI--AIACT	2017	2017 International Conference on Artificial Intelligence, Automation and Control Technologies--Ei & SCOPUS	Wuhan,China
ICCCBDA 2017	ICCCBDA	2017	2nd IEEE International Conference on Cloud Computing and Big Data Analysis -Ei Compendex	Chengdu, China
IUI 2017 - Posters and Demos 2017	IUI 2017 - Posters and Demos	2017	22nd ACM International Conference on Intelligent User Interfaces - Posters and Demos	Limassol, Cyprus
ICCAR 2017	ICCAR	2017	2017 3rd IEEE International Conference on Control, Automation and Robotics (ICCAR 2017) - IEEE Xplore and Ei Compendex	Nagoya, Japan
CSMO 2017	CSMO	2017	2017 International Conference on Simulation, Modeling and Optimization (CSMO 2017)--Ei&Scopus	Phuket
IJIMS 2015	IJIMS	2015	International Journal of Internet Manufacturing and Services	N/A
ISNN 2017	ISNN	2017	Fourteenth International Symposium on Neural Networks	Sapporo, Japan
ICAIL 2017	ICAIL	2017	16th International Conference on Artificial Intelligence and Law	London
ICIVC- SPIE 2017	ICIVC- SPIE	2017	2nd International Conference on Image, Vision and Computing (ICIVC 2017)-Ei Compendex and Scopus	Chengdu, China
AURO-DR 2017	AURO-DR	2017	Autonomous Robots special issue on Distributed Robots: From Fundamentals to Applications	N/A
CCML 2017	CCML	2017	The 16th China Conference on Machine Learning	Tianjin China
KES IDT DSS 2017	KES IDT DSS	2017	KES IDT - Decision Support Systems - Special Session	Vilamoura, Algarve, Portugal
KES-IDT-17 / IS09 (IDT-CMS 2017) 2017	KES-IDT-17 / IS09 (IDT-CMS 2017)	2017	Invited Session on Intelligent Decision Technologies for Manned and Unmanned Combat and Mission Systems	Vilamoura, Algarve, Portugal
KES-AMSTA-17 / IS04 (AMAT-CMS 2017) 2017	KES-AMSTA-17 / IS04 (AMAT-CMS 2017)	2017	Invited Session on Agent and Multi-Agent Based Technologies in Current and Future Combat and Mission Systems	Vilamoura, Algarve, Portugal
ICVR 2017	ICVR	2017	2017 3rd International Conference on Virtual Reality ICVR 2017	Hong kong
ICSIP-IEEE 2017	ICSIP-IEEE	2017	2nd International Conference on Signal and Image Processing - IEEE	Singapore
ISMIS 2017	ISMIS	2017	23rd International Symposium on Methodologies for Intelligent Systems	Warsaw, Poland
ICRV 2017	ICRV	2017	IEEE--2017 3rd International Conference on Robotics and Vision (ICRV 2017)--Ei Compendex and Scopus	Wuhan, China
ACIRS 2017	ACIRS	2017	2nd IEEE Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2017)-IEEE Xplore, Ei Compendex	Wuhan, China
